raw_header,label
SCF Domain,core
SCF Control,core
SCF #,core
"Secure Controls Framework (SCF)
Control Description",core
Evidence Request List (ERL) #,scf_relationship
"Possible Solutions & Considerations
Micro-Small Business (<10 staff)
BLS Firm Size Classes 1-2",core
"Possible Solutions & Considerations
Small Business (10-49 staff)
BLS Firm Size Classes 3-4",core
"Possible Solutions & Considerations
Medium Business (50-249 staff)
BLS Firm Size Classes 5-6",core
"Possible Solutions & Considerations
Large Business (250-999 staff)
BLS Firm Size Classes 7-8",core
"Possible Solutions & Considerations
Enterprise (> 1,000 staff)
BLS Firm Size Class 9",core
SCF Control Question,core
Relative Control Weighting,core
"PPTDF
Applicability

PEOPLE",core
"PPTDF
Applicability

PROCESS",core
"PPTDF
Applicability

TECHNOLOGY",core
"PPTDF
Applicability

DATA",core
"PPTDF
Applicability

FACILITY",core
"NIST CSF
Function Grouping",core
"SCRM Focus

TIER 1
STRATEGIC",core
"SCRM Focus

TIER 2
OPERATIONAL",core
"SCRM Focus

TIER 3
TACTICAL",core
"C|P-CMM 0
Not Performed",core
"C|P-CMM 1
Performed Informally",core
"C|P-CMM 2
Planned & Tracked+AI:AL",core
"C|P-CMM 3
Well Defined",core
"C|P-CMM 4
Quantitatively Controlled",core
"C|P-CMM 5
Continuously Improving",core
"AICPA
TSC 2017
(with 2022 revised POF)",framework_relationship
"BSI 
Standard 200-1",framework_relationship
"CIS
CSC
v8.1",framework_relationship
"CIS
CSC v8.1
IG1",framework_relationship
"CIS
CSC v8.1
IG2",framework_relationship
"CIS
CSC v8.1
IG3",framework_relationship
"COBIT
2019",framework_relationship
"COSO
v2017",framework_relationship
"CSA
CCM
v4",framework_relationship
"CSA
IoT SCF
v2",framework_relationship
"ENISA
v2.0",framework_relationship
GAPP,framework_relationship
"IEC TR 60601-4-5
v2021",framework_relationship
IEC 62443-4-2,framework_relationship
"ISO/SAE
21434
v2021",framework_relationship
"ISO
22301
v2019",framework_relationship
"ISO
27001
v2013",framework_relationship
"ISO
27001
v2022",framework_relationship
"ISO
27002
v2013",framework_relationship
"ISO
27002
v2022",framework_relationship
"ISO 
27017
v2015",framework_relationship
"ISO 
27018
v2014",framework_relationship
"ISO
27701 
v2019",framework_relationship
"ISO
29100
v2011",framework_relationship
"ISO
31000
v2009",framework_relationship
"ISO
31010
v2009",framework_relationship
"ISO
42001
v2023",framework_relationship
"MITRE
ATT&CK
10",framework_relationship
"MPA 
Content Security Program
v5.1",framework_relationship
"NAIC
Insurance Data Security Model Law (MDL-668)",framework_relationship
"NIST
AI RMF
AI 100-1
v1.0",framework_relationship
"NIST
AI 600-1",framework_relationship
"NIST Privacy Framework
v1.0",framework_relationship
"NIST
800-37 
rev 2",framework_relationship
"NIST
800-39",framework_relationship
"NIST
800-53
rev4",framework_relationship
"NIST
800-53 rev4
(low)",framework_relationship
"NIST
800-53 rev4
(moderate)",framework_relationship
"NIST
800-53 rev4
(high)",framework_relationship
"NIST
800-53
rev5",framework_relationship
"NIST
800-53B
rev5
(privacy)",framework_relationship
"NIST
800-53B
rev5
(low)",framework_relationship
"NIST
800-53B
rev5
(moderate)",framework_relationship
"NIST
800-53B
rev5
(high)",framework_relationship
"NIST
800-53
rev5
(NOC)",framework_relationship
"NIST
800-63B
(partial mapping)",framework_relationship
"NIST
800-82 rev3
LOW 
OT Overlay",framework_relationship
"NIST
800-82 rev3
MODERATE
OT Overlay",framework_relationship
"NIST
800-82 rev3
HIGH 
OT Overlay",framework_relationship
"NIST
800-160",framework_relationship
"NIST
800-161
rev 1",framework_relationship
"NIST
800-161
rev 1
C-SCRM Baseline",framework_relationship
"NIST
800-161
rev 1
Flow Down",framework_relationship
"NIST
800-161
rev 1
Level 1",framework_relationship
"NIST
800-161
rev 1
Level 2",framework_relationship
"NIST
800-161
rev 1
Level 3",framework_relationship
"NIST
800-171
rev2",framework_relationship
"NIST
800-171A",framework_relationship
"NIST
800-171
rev3",framework_relationship
"NIST
800-171A
rev3",framework_relationship
"NIST
800-172",framework_relationship
"NIST
800-207",framework_relationship
"NIST
800-218
v1.1
SSDF",framework_relationship
"NIST
CSF
v1.1",framework_relationship
"NIST
CSF
v2.0",framework_relationship
"OWASP
Top 10
v2021",framework_relationship
"PCIDSS
v3.2",framework_relationship
"PCI DSS
v4.0.1",framework_relationship
"PCI DSS
v4.0.1
SAQ A",framework_relationship
"PCI DSS
v4.0.1
SAQ A-EP",framework_relationship
"PCI DSS
v4.0.1
SAQ B",framework_relationship
"PCI DSS
v4.0.1
SAQ B-IP",framework_relationship
